OutletID;ReturnPointCode;Region
P001;WH701;Центр
P002;WH702;Северо-Запад
P003;WH703;Поволжье
P004;WH704;Юг
P005;WH705;Центр
P006;WH706;Северо-Запад
P007;WH707;Поволжье
P008;WH708;Юг
P009;WH709;Центр
P010;WH710;Северо-Запад
P011;WH711;Поволжье
P012;WH712;Юг
P013;WH713;Центр
P014;WH714;Северо-Запад
P015;WH715;Поволжье
P016;WH716;Юг
P017;WH717;Центр
P018;WH718;Северо-Запад
P019;WH719;Поволжье
P020;WH720;Юг
P021;WH721;Центр
P022;WH722;Северо-Запад
P023;WH723;Поволжье
P024;WH724;Юг
P025;WH725;Центр
P026;WH726;Северо-Запад
P027;WH727;Поволжье
P028;WH728;Юг
P029;WH729;Центр
P030;WH730;Северо-Запад
P031;WH731;Поволжье
P032;WH732;Юг
P033;WH733;Центр
P034;WH734;Северо-Запад
P035;WH735;Поволжье
P036;WH736;Юг
P037;WH737;Центр
P038;WH738;Северо-Запад
P039;WH739;Поволжье
P040;WH740;Юг
P041;WH741;Центр
P042;WH742;Северо-Запад
P043;WH743;Поволжье
P044;WH744;Юг
P045;WH745;Центр
P046;WH746;Северо-Запад
P047;WH747;Поволжье
P048;WH748;Юг
P049;WH749;Центр
P050;WH750;Северо-Запад
P051;WH751;Поволжье
P052;WH752;Юг
P053;WH753;Центр
P054;WH754;Северо-Запад
P055;WH755;Поволжье
P056;WH756;Юг
P057;WH757;Центр
P058;WH758;Северо-Запад
P059;WH759;Поволжье
P060;WH760;Юг
