ShipmentWeek;ReturnWeek;ReturnPointCode;BookID;Units;ReturnAmount;Reason
2026-W27;2026-W28;WH701;B001;6;1800;Повреждение
2026-W27;2026-W28;WH701;B006;2;800;Излишек запаса
2026-W27;2026-W28;WH701;B011;2;1000;Излишек запаса
2026-W27;2026-W28;WH701;B016;2;1200;Излишек запаса
2026-W27;2026-W28;WH701;B021;2;1400;Излишек запаса
2026-W27;2026-W28;WH702;B002;6;1920;Повреждение
2026-W27;2026-W28;WH702;B007;2;840;Излишек запаса
2026-W27;2026-W28;WH702;B012;2;1040;Излишек запаса
2026-W27;2026-W28;WH702;B017;2;1240;Излишек запаса
2026-W27;2026-W28;WH702;B022;2;1440;Излишек запаса
2026-W27;2026-W28;WH703;B003;6;2040;Повреждение
2026-W27;2026-W28;WH703;B008;2;880;Излишек запаса
2026-W27;2026-W28;WH703;B013;2;1080;Излишек запаса
2026-W27;2026-W28;WH703;B018;2;1280;Излишек запаса
2026-W27;2026-W28;WH703;B023;2;1480;Излишек запаса
2026-W27;2026-W28;WH704;B004;2;720;Излишек запаса
2026-W27;2026-W28;WH704;B009;2;920;Излишек запаса
2026-W27;2026-W28;WH704;B014;2;1120;Излишек запаса
2026-W27;2026-W28;WH704;B019;2;1320;Излишек запаса
2026-W27;2026-W28;WH704;B024;2;1520;Излишек запаса
2026-W27;2026-W28;WH705;B005;2;760;Излишек запаса
2026-W27;2026-W28;WH705;B010;2;960;Излишек запаса
2026-W27;2026-W28;WH705;B015;2;1160;Излишек запаса
2026-W27;2026-W28;WH705;B020;2;1360;Излишек запаса
2026-W27;2026-W28;WH706;B001;6;1800;Повреждение
2026-W27;2026-W28;WH706;B006;2;800;Излишек запаса
2026-W27;2026-W28;WH706;B011;2;1000;Излишек запаса
2026-W27;2026-W28;WH706;B016;2;1200;Излишек запаса
2026-W27;2026-W28;WH706;B021;2;1400;Излишек запаса
2026-W27;2026-W28;WH707;B002;6;1920;Повреждение
2026-W27;2026-W28;WH707;B007;2;840;Излишек запаса
2026-W27;2026-W28;WH707;B012;2;1040;Излишек запаса
2026-W27;2026-W28;WH707;B017;2;1240;Излишек запаса
2026-W27;2026-W28;WH707;B022;2;1440;Излишек запаса
2026-W27;2026-W28;WH708;B003;6;2040;Повреждение
2026-W27;2026-W28;WH708;B008;2;880;Излишек запаса
2026-W27;2026-W28;WH708;B013;2;1080;Излишек запаса
2026-W27;2026-W28;WH708;B018;2;1280;Излишек запаса
2026-W27;2026-W28;WH708;B023;2;1480;Излишек запаса
2026-W27;2026-W28;WH709;B004;2;720;Излишек запаса
2026-W27;2026-W28;WH709;B009;2;920;Излишек запаса
2026-W27;2026-W28;WH709;B014;2;1120;Излишек запаса
2026-W27;2026-W28;WH709;B019;2;1320;Излишек запаса
2026-W27;2026-W28;WH709;B024;2;1520;Излишек запаса
2026-W27;2026-W28;WH710;B005;2;760;Излишек запаса
2026-W27;2026-W28;WH710;B010;2;960;Излишек запаса
2026-W27;2026-W28;WH710;B015;2;1160;Излишек запаса
2026-W27;2026-W28;WH710;B020;2;1360;Излишек запаса
2026-W27;2026-W28;WH711;B001;6;1800;Повреждение
2026-W27;2026-W28;WH711;B006;2;800;Излишек запаса
2026-W27;2026-W28;WH711;B011;2;1000;Излишек запаса
2026-W27;2026-W28;WH711;B016;2;1200;Излишек запаса
2026-W27;2026-W28;WH711;B021;2;1400;Излишек запаса
2026-W27;2026-W28;WH712;B002;6;1920;Повреждение
2026-W27;2026-W28;WH712;B007;2;840;Излишек запаса
2026-W27;2026-W28;WH712;B012;2;1040;Излишек запаса
2026-W27;2026-W28;WH712;B017;2;1240;Излишек запаса
2026-W27;2026-W28;WH712;B022;2;1440;Излишек запаса
2026-W27;2026-W28;WH713;B003;6;2040;Повреждение
2026-W27;2026-W28;WH713;B008;2;880;Излишек запаса
2026-W27;2026-W28;WH713;B013;2;1080;Излишек запаса
