ShipmentWeek;OutletID;BookID;Book;Units;GrossAmount
2026-W27;P001;B001;Тихий сад;10;3000
2026-W27;P001;B002;Северный экспресс;11;3520
2026-W27;P001;B003;Дом у маяка;12;4080
2026-W27;P001;B004;Игры разума;13;4680
2026-W27;P001;B005;Шёпот времени;14;5320
2026-W27;P001;B006;Дорога домой;10;4000
2026-W27;P001;B007;Новый горизонт;11;4620
2026-W27;P001;B008;История города;12;5280
2026-W27;P001;B009;Морской ветер;13;5980
2026-W27;P001;B010;Зимний свет;14;6720
2026-W27;P001;B011;Летние письма;10;5000
2026-W27;P001;B012;Семейный альбом;11;5720
2026-W27;P001;B013;Научный поиск;12;6480
2026-W27;P001;B014;Большое путешествие;13;7280
2026-W27;P001;B015;Сила привычки;14;8120
2026-W27;P001;B016;Язык чисел;10;6000
2026-W27;P001;B017;Время читать;11;6820
2026-W27;P001;B018;Открытая дверь;12;7680
2026-W27;P001;B019;Дальний берег;13;8580
2026-W27;P001;B020;Карта мира;14;9520
2026-W27;P001;B021;Садовые истории;10;7000
2026-W27;P001;B022;Точка отсчёта;11;7920
2026-W27;P001;B023;Музыка дождя;12;8880
2026-W27;P001;B024;Книга открытий;13;9880
2026-W27;P002;B001;Тихий сад;14;4200
2026-W27;P002;B002;Северный экспресс;10;3200
2026-W27;P002;B003;Дом у маяка;11;3740
2026-W27;P002;B004;Игры разума;12;4320
2026-W27;P002;B005;Шёпот времени;13;4940
2026-W27;P002;B006;Дорога домой;14;5600
2026-W27;P002;B007;Новый горизонт;10;4200
2026-W27;P002;B008;История города;11;4840
2026-W27;P002;B009;Морской ветер;12;5520
2026-W27;P002;B010;Зимний свет;13;6240
2026-W27;P002;B011;Летние письма;14;7000
2026-W27;P002;B012;Семейный альбом;10;5200
2026-W27;P002;B013;Научный поиск;11;5940
2026-W27;P002;B014;Большое путешествие;12;6720
2026-W27;P002;B015;Сила привычки;13;7540
2026-W27;P002;B016;Язык чисел;14;8400
2026-W27;P002;B017;Время читать;10;6200
2026-W27;P002;B018;Открытая дверь;11;7040
2026-W27;P002;B019;Дальний берег;12;7920
2026-W27;P002;B020;Карта мира;13;8840
2026-W27;P002;B021;Садовые истории;14;9800
2026-W27;P002;B022;Точка отсчёта;10;7200
