Week;Book;Channel;Gross;Returns;Units
2026-W35;Тихий сад;Litres;1745;69.8;5
2026-W35;Северный экспресс;Ozon;2694;107.76;6
2026-W35;Дом у маяка;WB;2093;83.72;7
2026-W35;Игры разума;Litres;4320;172.8;8
2026-W35;Шёпот времени;Ozon;3510;140.4;9
2026-W35;Тихий сад;WB;3490;139.6;10
2026-W35;Северный экспресс;Litres;4939;197.56;11
2026-W35;Дом у маяка;Ozon;1495;59.8;5
2026-W35;Игры разума;WB;3240;129.6;6
2026-W35;Шёпот времени;Litres;2730;109.2;7
2026-W35;Тихий сад;Ozon;2792;111.68;8
2026-W35;Северный экспресс;WB;4041;161.64;9
2026-W35;Дом у маяка;Litres;2990;119.6;10
2026-W35;Игры разума;Ozon;5940;237.6;11
2026-W35;Шёпот времени;WB;1950;78;5
2026-W35;Тихий сад;Litres;2094;83.76;6
2026-W35;Северный экспресс;Ozon;3143;125.72;7
2026-W35;Дом у маяка;WB;2392;95.68;8
2026-W35;Игры разума;Litres;4860;194.4;9
2026-W35;Шёпот времени;Ozon;3900;156;10
2026-W35;Тихий сад;WB;3839;153.56;11
2026-W35;Северный экспресс;Litres;2245;89.8;5
2026-W35;Дом у маяка;Ozon;1794;71.76;6
2026-W35;Игры разума;WB;3780;151.2;7
2026-W35;Шёпот времени;Litres;3120;124.8;8
2026-W35;Тихий сад;Ozon;3141;125.64;9
2026-W35;Северный экспресс;WB;4490;179.6;10
2026-W35;Дом у маяка;Litres;3289;131.56;11
2026-W35;Игры разума;Ozon;2700;108;5
2026-W35;Шёпот времени;WB;2340;93.6;6
2026-W35;Тихий сад;Litres;2443;97.72;7
2026-W35;Северный экспресс;Ozon;3592;143.68;8
2026-W35;Дом у маяка;WB;2691;107.64;9
2026-W35;Игры разума;Litres;5400;216;10
2026-W35;Шёпот времени;Ozon;4290;171.6;11
2026-W35;Тихий сад;WB;1745;69.8;5
2026-W35;Северный экспресс;Litres;2694;107.76;6
2026-W35;Дом у маяка;Ozon;2093;83.72;7
2026-W35;Игры разума;WB;4320;172.8;8
2026-W35;Шёпот времени;Litres;3510;140.4;9
2026-W35;Тихий сад;Ozon;3490;139.6;10
2026-W35;Северный экспресс;WB;4939;197.56;11
2026-W35;Дом у маяка;Litres;1495;59.8;5
2026-W35;Игры разума;Ozon;3240;129.6;6
2026-W35;Шёпот времени;WB;2730;109.2;7
2026-W35;Тихий сад;Litres;2792;111.68;8
2026-W35;Северный экспресс;Ozon;4041;161.64;9
2026-W35;Дом у маяка;WB;2990;119.6;10
2026-W35;Игры разума;Litres;5940;237.6;11
2026-W35;Шёпот времени;Ozon;1950;78;5
2026-W35;Тихий сад;WB;2094;83.76;6
2026-W35;Северный экспресс;Litres;3143;125.72;7
2026-W35;Дом у маяка;Ozon;2392;95.68;8
2026-W35;Игры разума;WB;4860;194.4;9
2026-W35;Шёпот времени;Litres;3900;156;10
2026-W35;Тихий сад;Ozon;3839;153.56;11
2026-W35;Северный экспресс;WB;2245;89.8;5
2026-W35;Дом у маяка;Litres;1794;71.76;6
2026-W35;Игры разума;Ozon;3780;151.2;7
2026-W35;Шёпот времени;WB;3120;124.8;8
2026-W35;Тихий сад;Litres;3141;125.64;9
2026-W35;Северный экспресс;Ozon;4490;179.6;10
2026-W35;Дом у маяка;WB;3289;131.56;11
2026-W35;Игры разума;Litres;2700;108;5
2026-W35;Шёпот времени;Ozon;2340;93.6;6
2026-W35;Тихий сад;WB;2443;97.72;7
2026-W35;Северный экспресс;Litres;3592;143.68;8
2026-W35;Дом у маяка;Ozon;2691;107.64;9
2026-W35;Игры разума;WB;5400;216;10
2026-W35;Шёпот времени;Litres;4290;171.6;11
2026-W35;Тихий сад;Ozon;1745;69.8;5
2026-W35;Северный экспресс;WB;2694;107.76;6
2026-W35;Дом у маяка;Litres;2093;83.72;7
2026-W35;Игры разума;Ozon;4320;172.8;8
2026-W35;Шёпот времени;WB;3510;140.4;9
2026-W35;Тихий сад;Litres;3490;139.6;10
2026-W35;Северный экспресс;Ozon;4939;197.56;11
2026-W35;Дом у маяка;WB;1495;59.8;5
2026-W35;Игры разума;Litres;3240;129.6;6
2026-W35;Шёпот времени;Ozon;2730;109.2;7
2026-W35;Тихий сад;WB;2792;111.68;8
2026-W35;Северный экспресс;Litres;4041;161.64;9
2026-W35;Дом у маяка;Ozon;2990;119.6;10
2026-W35;Игры разума;WB;5940;237.6;11
2026-W35;Шёпот времени;Litres;1950;78;5
2026-W35;Тихий сад;Ozon;2094;83.76;6
2026-W35;Северный экспресс;WB;3143;125.72;7
2026-W35;Дом у маяка;Litres;2392;95.68;8
2026-W35;Игры разума;Ozon;4860;194.4;9
2026-W35;Шёпот времени;WB;3900;156;10
2026-W35;Тихий сад;Litres;3839;153.56;11
2026-W35;Северный экспресс;Ozon;2245;89.8;5
2026-W35;Дом у маяка;WB;1794;71.76;6
2026-W35;Игры разума;Litres;3780;151.2;7
2026-W35;Шёпот времени;Ozon;3120;124.8;8
2026-W35;Тихий сад;WB;3141;125.64;9
2026-W35;Северный экспресс;Litres;4490;179.6;10
2026-W35;Дом у маяка;Ozon;3289;131.56;11
2026-W35;Игры разума;WB;2700;108;5
2026-W35;Шёпот времени;Litres;2340;93.6;6
2026-W35;Тихий сад;Ozon;2443;97.72;7
2026-W35;Северный экспресс;WB;3592;143.68;8
2026-W35;Дом у маяка;Litres;2691;107.64;9
2026-W35;Игры разума;Ozon;5400;216;10
2026-W35;Шёпот времени;WB;4290;171.6;11
2026-W35;Тихий сад;Litres;1745;69.8;5
2026-W35;Северный экспресс;Ozon;2694;107.76;6
2026-W35;Дом у маяка;WB;2093;83.72;7
2026-W35;Игры разума;Litres;4320;172.8;8
2026-W35;Шёпот времени;Ozon;3510;140.4;9
2026-W35;Тихий сад;WB;3490;139.6;10
2026-W35;Северный экспресс;Litres;4939;197.56;11
2026-W35;Дом у маяка;Ozon;1495;59.8;5
2026-W35;Игры разума;WB;3240;129.6;6
2026-W35;Шёпот времени;Litres;2730;109.2;7
2026-W35;Тихий сад;Ozon;2792;111.68;8
2026-W35;Северный экспресс;WB;4041;161.64;9
2026-W35;Дом у маяка;Litres;2990;119.6;10
2026-W35;Игры разума;Ozon;5940;237.6;11
2026-W35;Шёпот времени;WB;1950;78;5
2026-W35;Тихий сад;Litres;2094;83.76;6
2026-W35;Северный экспресс;Ozon;3143;125.72;7
2026-W35;Дом у маяка;WB;2392;95.68;8
2026-W35;Игры разума;Litres;4860;194.4;9
2026-W35;Шёпот времени;Ozon;3900;156;10
2026-W35;Тихий сад;WB;3839;153.56;11
2026-W35;Северный экспресс;Litres;2245;89.8;5
2026-W35;Дом у маяка;Ozon;1794;71.76;6
2026-W35;Игры разума;WB;3780;151.2;7
2026-W35;Шёпот времени;Litres;3120;124.8;8
2026-W35;Тихий сад;Ozon;3141;125.64;9
2026-W35;Северный экспресс;WB;4490;179.6;10
2026-W35;Дом у маяка;Litres;3289;131.56;11
2026-W35;Игры разума;Ozon;2700;108;5
2026-W35;Шёпот времени;WB;2340;93.6;6
2026-W35;Тихий сад;Litres;2443;97.72;7
2026-W35;Северный экспресс;Ozon;3592;143.68;8
2026-W35;Дом у маяка;WB;2691;107.64;9
2026-W35;Игры разума;Litres;5400;216;10
2026-W35;Шёпот времени;Ozon;4290;171.6;11
2026-W35;Тихий сад;WB;1745;69.8;5
2026-W35;Северный экспресс;Litres;2694;107.76;6
2026-W35;Дом у маяка;Ozon;2093;83.72;7
2026-W35;Игры разума;WB;4320;172.8;8
2026-W35;Шёпот времени;Litres;3510;140.4;9
2026-W35;Тихий сад;Ozon;3490;139.6;10
2026-W35;Северный экспресс;WB;4939;197.56;11
2026-W35;Дом у маяка;Litres;1495;59.8;5
2026-W35;Игры разума;Ozon;3240;129.6;6
2026-W35;Шёпот времени;WB;2730;109.2;7
2026-W35;Тихий сад;Litres;2792;111.68;8
2026-W35;Северный экспресс;Ozon;4041;161.64;9
2026-W35;Дом у маяка;WB;2990;119.6;10
2026-W35;Игры разума;Litres;5940;237.6;11
2026-W35;Шёпот времени;Ozon;1950;78;5
2026-W35;Тихий сад;WB;2094;83.76;6
2026-W35;Северный экспресс;Litres;3143;125.72;7
2026-W35;Дом у маяка;Ozon;2392;95.68;8
2026-W35;Игры разума;WB;4860;194.4;9
2026-W35;Шёпот времени;Litres;3900;156;10
2026-W35;Тихий сад;Ozon;3839;153.56;11
