Параметр;Значение;Единица / определение
Тираж;5000;экземпляры
Розничная цена;800;руб./экз.
Скидка торговому партнёру;0.45;доля
Печать одного экземпляра;100;руб./экз.
Подготовка книги;150000;руб., до начала продаж
Стартовое продвижение;100000;руб., до начала продаж
Ежемесячные расходы;5000;руб./месяц, все 24 месяца
Роялти с поступлений;0.1;доля
Спрос первого месяца;600;отгруженные экземпляры
Ежемесячное изменение спроса;0;доля: от -1 до 1
Доля возврата;0.1;доля отгруженных экземпляров
