ISBN;Book;Status;Price;Litres;Ozon;WB
9785000000018;Тихий сад;active;349;5;12;7
9785000000025;Дом у маяка;paused;449;8;5;3
9785000000032;Игры разума;active;540;5;0;4
9785000000045;Книга 4;active;349;4;4;4
9785000000052;Книга 5;active;399;5;5;5
9785000000069;Книга 6;active;449;6;6;6
9785000000076;Книга 7;active;499;7;7;0
9785000000083;Книга 8;active;349;8;8;1
9785000000090;Книга 9;active;399;9;9;2
9785000000106;Книга 10;paused;449;10;10;3
9785000000113;Книга 11;active;499;0;11;4
9785000000120;Книга 12;active;349;1;12;5
9785000000137;Книга 13;active;399;2;0;6
9785000000144;Книга 14;active;449;3;1;0
9785000000151;Книга 15;active;499;4;2;1
9785000000168;Книга 16;active;349;5;3;2
9785000000175;Книга 17;active;399;6;4;3
9785000000182;Книга 18;active;449;7;5;4
9785000000199;Книга 19;active;499;8;6;5
9785000000205;Книга 20;paused;349;9;7;6
;Книга 21;active;399;10;8;0
9785000000229;Книга 22;active;449;0;9;1
9785000000236;Книга 23;active;499;1;10;2
9785000000243;Книга 24;active;349;2;11;3
9785000000250;Книга 25;active;399;3;12;4
9785000000267;Книга 26;active;449;4;0;5
9785000000274;Книга 27;active;499;5;1;6
9785000000281;Книга 28;active;349;6;2;0
9785000000298;Книга 29;active;399;7;3;1
9785000000304;Книга 30;paused;449;8;4;2
9785000000311;Книга 31;active;449;9;5;3
9785000000328;Книга 32;active;349;10;6;4
9785000000335;Книга 33;active;399;0;7;5
9785000000342;Книга 34;active;449;1;8;6
9785000000359;Книга 35;active;499;2;9;0
9785000000366;Книга 36;active;349;3;10;1
9785000000373;Книга 37;active;399;4;11;2
9785000000380;Книга 38;active;449;5;12;3
9785000000397;Книга 39;active;499;6;0;4
9785000000403;Книга 40;paused;349;7;1;5
9785000000410;Книга 41;active;399;8;2;-2
9785000000427;Книга 42;active;449;9;3;0
9785000000434;Книга 43;active;499;10;4;1
9785000000441;Книга 44;active;349;0;5;2
9785000000458;Книга 45;active;399;1;6;3
9785000000465;Книга 46;active;449;2;7;4
9785000000472;Книга 47;active;499;3;8;5
9785000000489;Книга 48;active;349;4;9;6
9785000000496;Книга 49;active;399;5;10;0
9785000000502;Книга 50;paused;449;6;11;1
9785000000018;Книга 51;active;499;7;12;2
9785000000526;Книга 52;active;349;8;0;3
9785000000533;Книга 53;active;399;9;1;4
9785000000540;Книга 54;active;449;10;2;5
9785000000557;Книга 55;active;499;0;3;6
9785000000564;Книга 56;active;349;1;4;0
9785000000571;Книга 57;active;399;2;5;1
9785000000588;Книга 58;active;449;3;6;2
9785000000595;Книга 59;active;499;4;7;3
9785000000601;Книга 60;paused;349;5;8;4
9785000000618;Книга 61;active;399;6;9;5
9785000000625;Книга 62;active;449;7;10;6
9785000000632;Книга 63;active;499;8;11;0
9785000000649;Книга 64;active;349;9;12;1
9785000000656;Книга 65;active;399;10;0;2
9785000000663;Книга 66;active;449;0;1;3
9785000000670;Книга 67;active;499;1;2;4
9785000000687;Книга 68;active;349;2;3;5
9785000000694;Книга 69;active;399;3;4;6
9785000000700;Книга 70;paused;449;4;5;0
9785000000717;Книга 71;active;499;5;6;1
9785000000724;Книга 72;active;349;6;7;2
9785000000731;Книга 73;active;399;7;8;3
9785000000748;Книга 74;active;449;8;9;4
9785000000755;Книга 75;active;499;9;10;5
9785000000762;Книга 76;active;349;10;11;6
9785000000779;Книга 77;active;399;0;12;0
9785000000786;Книга 78;active;449;1;0;1
9785000000793;Книга 79;active;499;2;1;2
9785000000809;Книга 80;paused;349;3;2;3
9785000000816;Книга 81;active;399;4;3;4
9785000000823;Книга 82;active;449;5;4;5
9785000000830;Книга 83;active;499;6;5;6
