OrderID;Book;Channel;Units;Price;Revenue;Month;Returned
ORD-000001;Северный экспресс;Ozon;2;449;898;2026-07;0
ORD-000002;Дом у маяка;WB;3;299;897;2026-07;0
ORD-000003;Игры разума;Литрес;4;540;2160;2026-07;0
ORD-000004;Шёпот времени;Ozon;5;390;1950;2026-07;0
ORD-000005;Тихий сад;WB;6;349;2094;2026-07;0
ORD-000006;Северный экспресс;Литрес;7;449;3143;2026-07;0
ORD-000007;Дом у маяка;Ozon;1;299;299;2026-07;0
ORD-000008;Игры разума;WB;2;540;1080;2026-07;0
ORD-000009;Шёпот времени;Литрес;3;390;1170;2026-07;0
ORD-000010;Тихий сад;Ozon;4;349;1396;2026-07;0
ORD-000011;Северный экспресс;WB;5;449;2245;2026-07;0
ORD-000012;Дом у маяка;Литрес;6;299;1794;2026-07;0
ORD-000013;Игры разума;Ozon;7;540;3780;2026-07;0
ORD-000014;Шёпот времени;WB;1;390;390;2026-07;0
ORD-000015;Тихий сад;Литрес;2;349;698;2026-07;0
ORD-000016;Северный экспресс;Ozon;3;449;1347;2026-07;0
ORD-000017;Дом у маяка;WB;4;299;1196;2026-07;0
ORD-000018;Игры разума;Литрес;5;540;2700;2026-07;0
ORD-000019;Шёпот времени;Ozon;6;390;2340;2026-07;0
ORD-000020;Тихий сад;WB;7;349;2443;2026-07;0
ORD-000021;Северный экспресс;Литрес;1;449;449;2026-07;0
ORD-000022;Дом у маяка;Ozon;2;299;598;2026-07;0
ORD-000023;Игры разума;WB;3;540;1620;2026-07;0
ORD-000024;Шёпот времени;Литрес;4;390;1560;2026-07;0
ORD-000025;Тихий сад;Ozon;5;349;1745;2026-07;0
ORD-000026;Северный экспресс;WB;6;449;2694;2026-07;0
ORD-000027;Дом у маяка;Литрес;7;299;2093;2026-07;0
ORD-000028;Игры разума;Ozon;1;540;540;2026-07;0
ORD-000029;Шёпот времени;WB;2;390;780;2026-07;0
ORD-000030;Тихий сад;Литрес;3;349;1047;2026-07;0
ORD-000031;Северный экспресс;Ozon;4;449;1796;2026-07;0
ORD-000032;Дом у маяка;WB;5;299;1495;2026-07;0
ORD-000033;Игры разума;Литрес;6;540;3240;2026-07;0
ORD-000034;Шёпот времени;Ozon;7;390;2730;2026-07;0
ORD-000035;Тихий сад;WB;1;349;349;2026-07;0
ORD-000036;Северный экспресс;Литрес;2;449;898;2026-07;0
ORD-000037;Дом у маяка;Ozon;3;299;897;2026-07;0
ORD-000038;Игры разума;WB;4;540;2160;2026-07;0
ORD-000039;Шёпот времени;Литрес;5;390;1950;2026-07;0
ORD-000040;Тихий сад;Ozon;6;349;2094;2026-07;0
ORD-000040;Северный экспресс;WB;7;449;3143;2026-07;0
ORD-000042;Дом у маяка;Литрес;1;299;299;2026-07;0
ORD-000043;Игры разума;Ozon;2;540;1080;2026-07;0
ORD-000044;Шёпот времени;WB;3;390;1170;2026-07;0
ORD-000045;Тихий сад;Литрес;4;349;1396;2026-07;0
ORD-000046;Северный экспресс;Ozon;5;449;2245;2026-07;0
ORD-000047;Дом у маяка;WB;6;299;1794;2026-07;0
ORD-000048;Игры разума;Литрес;7;540;3780;2026-07;0
ORD-000049;Шёпот времени;Ozon;1;390;390;2026-07;0
ORD-000050;Тихий сад;WB;2;349;698;2026-07;0
ORD-000051;Северный экспресс;Литрес;3;449;1347;2026-07;0
ORD-000052;Дом у маяка;Ozon;4;299;1196;2026-07;0
ORD-000053;Игры разума;WB;5;540;2700;2026-07;0
ORD-000054;Шёпот времени;Литрес;6;390;2340;2026-07;0
ORD-000055;Тихий сад;Ozon;7;349;2443;2026-07;0
ORD-000056;Северный экспресс;WB;1;449;449;2026-07;0
ORD-000057;Дом у маяка;Литрес;2;299;598;2026-07;0
ORD-000058;Игры разума;Ozon;3;540;1620;2026-07;0
ORD-000059;Шёпот времени;WB;4;390;1560;2026-07;0
ORD-000060;Тихий сад;Литрес;5;349;1745;2026-07;0
ORD-000061;Северный экспресс;Ozon;6;449;2694;2026-07;0
ORD-000062;Дом у маяка;WB;7;299;2093;2026-07;0
ORD-000063;Игры разума;Литрес;1;540;540;2026-07;0
ORD-000064;Шёпот времени;Ozon;2;390;780;2026-07;0
ORD-000065;Тихий сад;WB;3;349;1047;2026-07;0
ORD-000066;Северный экспресс;Литрес;4;449;1796;2026-07;0
ORD-000067;Дом у маяка;Ozon;5;299;1495;2026-07;0
ORD-000068;Игры разума;WB;6;540;3240;2026-07;0
ORD-000069;Шёпот времени;Литрес;7;390;2730;2026-07;0
ORD-000070;Тихий сад;Ozon;1;349;349;2026-07;0
ORD-000071;Северный экспресс;WB;2;449;898;2026-07;0
ORD-000072;Дом у маяка;Литрес;3;299;897;2026-07;0
ORD-000073;Игры разума;Ozon;4;540;2160;2026-07;0
ORD-000074;Шёпот времени;WB;5;390;1950;2026-07;0
ORD-000075;Тихий сад;Литрес;6;349;2094;2026-07;0
ORD-000076;Северный экспресс;Ozon;7;449;3143;2026-07;0
ORD-000077;Дом у маяка;WB;1;299;299;2026-07;0
ORD-000078;Игры разума;Литрес;2;540;1080;2026-07;0
ORD-000079;Шёпот времени;Ozon;3;390;1170;2026-07;0
ORD-000080;Тихий сад;WB;4;349;1396;2026-07;0
ORD-000081;Северный экспресс;Литрес;5;449;2245;2026-07;0
ORD-000082;Дом у маяка;Ozon;6;299;1794;2026-07;0
ORD-000083;Игры разума;WB;7;540;3780;2026-07;0
ORD-000084;Шёпот времени;Литрес;1;390;390;2026-07;0
ORD-000085;Тихий сад;Ozon;2;349;698;2026-07;0
ORD-000086;Северный экспресс;WB;3;449;1347;2026-07;0
ORD-000087;Дом у маяка;Литрес;4;299;1196;2026-07;0
ORD-000088;Игры разума;Ozon;5;540;2700;2026-07;0
ORD-000089;Шёпот времени;WB;6;390;2340;2026-07;0
ORD-000090;Тихий сад;Литрес;7;349;2443;2026-07;0
ORD-000091;Северный экспресс;Ozon;1;449;449;2026-07;0
ORD-000092;Дом у маяка;WB;2;299;598;2026-07;0
ORD-000093;Игры разума;Литрес;3;540;1620;2026-07;0
ORD-000094;Шёпот времени;Ozon;4;390;1560;2026-07;0
ORD-000095;Тихий сад;WB;5;349;1745;2026-07;0
ORD-000096;Северный экспресс;Литрес;6;449;2694;2026-07;0
ORD-000097;Дом у маяка;Ozon;7;299;2093;2026-07;0
ORD-000098;Игры разума;WB;1;540;540;2026-07;0
ORD-000099;Шёпот времени;Литрес;2;390;780;2026-07;0
ORD-000100;Тихий сад;Ozon;3;349;1047;2026-07;0
ORD-000101;Северный экспресс;WB;4;449;1796;2026-07;0
ORD-000102;Дом у маяка;Литрес;5;299;1495;2026-07;0
ORD-000103;Игры разума;Ozon;6;540;3240;2026-07;0
ORD-000104;Шёпот времени;WB;7;390;2730;2026-07;0
ORD-000105;Тихий сад;Литрес;1;349;349;2026-07;0
ORD-000106;Северный экспресс;Ozon;2;449;898;2026-07;0
ORD-000107;Дом у маяка;WB;3;299;897;2026-07;0
ORD-000108;Игры разума;Литрес;4;540;2160;2026-07;0
ORD-000109;Шёпот времени;Ozon;5;390;1950;2026-07;0
ORD-000110;Тихий сад;WB;6;349;2094;2026-07;0
ORD-000111;Северный экспресс;Литрес;7;449;3143;2026-07;0
ORD-000112;Дом у маяка;Ozon;1;299;299;2026-07;0
ORD-000113;Игры разума;WB;2;540;1080;2026-07;0
ORD-000114;Шёпот времени;Литрес;3;390;1170;2026-07;0
ORD-000115;Тихий сад;Ozon;4;349;1396;2026-07;0
ORD-000116;Северный экспресс;WB;5;449;2245;2026-07;0
ORD-000117;Дом у маяка;Литрес;6;299;1794;2026-07;0
